Pilot,Type,Raw_km,Multiplier,Effective_km,Duration,Avg_Speed_kmh,Max_Alt_ft,Scored_Gates,Total_Gates,Status
018T02V1R1_Daniel_MACAK,FAI,30.75,1.5,46.13,00:23:07.0,98.6,718,29,29,SUCCESS
009T02V1R1_Chayapol_PERMQUAMSUK,FAI,29.65,1.5,44.48,00:27:26.0,79.9,1138,28,28,SUCCESS
017T02V1R1_Suthasphan_BANTHAD,FAI,28.51,1.5,42.76,00:28:11.0,74.5,1112,17,27,SUCCESS
024T02V1R1_Thanichet_SIRAARPRON,FAI,26.83,1.5,40.24,00:25:04.0,85.1,1348,22,26,SUCCESS
010T02V1R1_Eakpop_OUARUN,FAI,24.67,1.5,37.01,00:26:25.0,70.4,951,21,24,SUCCESS
001T02v1r1_Chutipon_SIRISATIT,FAI,23.59,1.5,35.39,00:31:28.0,54.5,928,14,22,SUCCESS
021T02V1R1_Aussadavut_KRUEAFONG,FAI,21.97,1.5,32.95,00:24:23.0,72.3,902,6,21,SUCCESS
019T02V1R1_Chaiwat_BANLUE.20260304-090920,FAI,21.58,1.5,32.37,00:38:17.0,57.0,859,3,21,SUCCESS
005T00V1R1_Amarade_Punthang,FAI,21.08,1.5,31.62,00:24:47.0,64.7,515,11,20,SUCCESS
008T02V1R1_Autid_THIABSUWAN,FAI,18.87,1.5,28.3,00:18:46.0,76.8,849,18,18,SUCCESS
014T02V1R1_CDR.Arnon_NAKPRASIT,FAI,17.63,1.5,26.44,00:19:15.0,82.3,1345,12,16,SUCCESS
006T02V1R1_Yossakorn_TEPART,FAI,16.59,1.5,24.88,00:18:44.0,93.5,1033,15,16,SUCCESS
012T02V1R1_Papon_PAIPINIJ,FAI,16.33,1.5,24.5,00:17:28.0,84.5,1118,16,16,SUCCESS
016T02V1R1_Yutthajake_CHOEDDAMRONGSIRIKUL_,FAI,16.21,1.5,24.31,00:22:42.0,67.7,1505,10,15,SUCCESS
003T02V1R1_SAHATSAWAT_SRIYOTEE.igc 2,FAI,13.35,1.5,20.02,00:17:36.0,61.8,711,8,12,SUCCESS
022T02V1R1_Pornpot_TEERATEERAWAT,FAI,10.83,1.5,16.25,00:15:51.0,64.9,751,5,10,SUCCESS
